Shift,Location,Date,Time,Question/Comment,Category,Sex,Age (Est),Notes
North Charlie,Connolly,2/1/2025,16:43,Where is pltform 6?,Platform Info,F,18,Lost
,Connolly,,16:45,Whatt platform is the train to Maynooth?,Platform Info,F,30,Confirmation
,Kilbarak,,17:26,When is the next train to Howth?,Train Time,F,60,No info on the screen
,Raheny,,18:10,Which direction is Northbound?,Direction,F,35,Confution
,Raheny,,20:40,What time is the last train?,Last Train,M,55,Confirmation
,Raheny,,22:05,Where is the toilet?,Toilet,F,15,Toilet info
,Kilbarak,,23:10,Is there a train to Greystones?,Route Confirmation,M,50,Confirmation
South Bravo,Onboard,3/1/2015,16:55,Is this Sydney Parade Station?,Location Confirmation,F,25,Lost
,Dun Laogh.,,17:23,Which train is going Portmarnok,Route Confirmation,F,20,Confution with two trains. Both train showing Bray.
,Sea Point,,18:05,Which platform is for North?,Route Confirmation,M,25,Probably new dart user.
,Onboard,,18:50,Is there any toilet on the train?,Toilet,M,45,Tourist
,Dalkey,,22:02,Why the screen is showing 2 min for last 5 min?,Delay,M,35,Frustated about the time.
,Connolly,,0:18,Which way to get out?,Platform Info,M,45,Confused about the exit.
South Alpha,Bray,4/1/2025,17:55,Is this train going to howth or malahid,Route Confirmation,F,25,Confused. Screen showing Howth but train showing Malahid.
,Onboard,,18:20,How long does it take to reach City center,Direction,F,40,Tourist
,Kiliney,,18:25,Where is the toilet?,Toilet,M,15,Teen
,Bray,,20:19,Is Greystones train stopping this side?,Platform Info,M,45,Confirmation
,Bray,,20:56,Is this going to howth?,Route Confirmation,F,25,Confirmation
,Bray,,23:15,Does the next train go to Connolly?,Route Confirmation,M,35,Asking the commuter goes to connolly or not.
Howth Static,Connolly,5/1/2025,16:35,Which platform is for Droheda?,Platform Info,F,18,Confused.
,Onboard,,16:40,How to get to Malahid?,Route Confirmation,M,30,Seasonal user.
,Onboard,,16:42,Will you please tell me when it’s Raheny?,Station Stops,F,65,Scared
,Howth,,17:02,Is this City Center train?,Route Confirmation,M,30,Tourist
,Howth,,17:15,How to get City Center?,Location Confirmation,M,45,Tourist
,Howth,,17:17,Which train is this?,Route Confirmation,F,20,Screen was showing Bray.
,Howth,,17:34,What time is the last train?,Last Train,M,45,Confarmation.
,Howth,,17:40,Does the next train go to City Center?,Route Confirmation,F,25,Confused
,Howth,,18:10,What is the time table of the trains to Connolly?,Time Table,M,50,Planning to travel regularly
,Howth,,18:30,How to get Tara Street?,Route Confirmation,F,35,Tourist
,Howth,,19:12,Where is the toilet?,Toilet,F,25,Toilet info
,Howth,,19:35,Is there any toilet in the station?,Toilet,M,35,Toilet info
,Howth,,21:26,What time is the last train?,Last Train,M,45,Confirmation
,Howth,,22:00,How to get Clongrifin?,Direction,F,25,New user
,Howth,,21:10,What time is next train to Greystones?,Train Time,M,50,Confirmation
North Charlie,Connolly,6/1/2025,16:40,Which Platform is the Droheda train?,Platform Info,F,30,Confused
,Onboard,,16:58,Is this Raheny station?,Location Confirmation,F,35,Confirmation
,Kilbarak,,17:21,How to get Malahide?,Route Confirmation,F,55,Confused
,Raheny,,17:40,Which platform is Bray train?,Platform Info,F,20,Confirmation
,Clontarf Road,,18:21,Why the Bray train delayed?,Delay,M,40,Angry
,Harmenstwon,,20:06,I couldn't tag my leap card. Is that okay to get on?,Ticketing,F,35,Confused
Bray Static,Onboard,7/1/2025,15:15,Is this train going to Greystones?,Route Confirmation,M,25,Confused. Train display showing Bray.
,Bray,,16:40,Which platform is to Connolly?,Platform Info,M,45,Confirmation
,Bray,,17:10,Is this train to howth or Malahid?,Route Confirmation,F,30,Confused
,Bray,,19:35,Where is the toilet?,Toilet,M,20,Toilet info
,Bray,,19:37,Is there any toilet in the station?,Toilet,F,40,Toilet info
,Bray,,21:10,Greystones this side or far side?,Platform Info,M,45,Confirmation
,Bray,,22:56,Which platform is to Tara Street?,Platform Info,F,30,New user
,Bray,,23:20,Does the commuter train stop at Sydney Parade?,Route Confirmation,M,50,Confirmation
Bray Static,Bray,8/1/2025,16:05,Whom to give this bag found on the train?,Lost & Found,F,40,Confirmation
,Bray,,16:10,Where is the toilet?,Toilet,M,18,Toilet info
,Bray,,17:50,Is this train going to Howth?,Route Confirmation,M,30,Confirmation
,Bray,,21:15,Greystones which side?,Platform Info,M,45,Confirmation
Central,Connolly,10/1/2025,16:45,How to go to platform 7?,Platform Info,M,30,Confused
,Pearse,,17:25,Which way to exit?,Platform Info,M,45,Confused
